Month-year,Number of fixed tickets,Proc Ctr Char lower limit,Proc Ctr Char upper limit
APRIL-2004,46,0.0,33.39696747725777
MAY-2004,13,0.0,33.39696747725777
JUNE-2004,3,0.0,33.39696747725777
AUGUST-2004,2,0.0,33.39696747725777
OCTOBER-2004,6,0.0,33.39696747725777
NOVEMBER-2004,3,0.0,33.39696747725777
DECEMBER-2004,2,0.0,33.39696747725777
JANUARY-2005,3,0.0,33.39696747725777
FEBRUARY-2005,3,0.0,33.39696747725777
MARCH-2005,2,0.0,33.39696747725777
APRIL-2005,4,0.0,33.39696747725777
MAY-2005,3,0.0,33.39696747725777
JUNE-2005,1,0.0,33.39696747725777
JULY-2005,5,0.0,33.39696747725777
JANUARY-2006,3,0.0,33.39696747725777
MARCH-2006,1,0.0,33.39696747725777
JULY-2006,4,0.0,33.39696747725777
MARCH-2008,15,0.0,33.39696747725777
MAY-2008,2,0.0,33.39696747725777
AUGUST-2008,3,0.0,33.39696747725777
SEPTEMBER-2008,1,0.0,33.39696747725777
OCTOBER-2008,1,0.0,33.39696747725777
JANUARY-2009,1,0.0,33.39696747725777
